Country,Region/State,City,"Zip/Postal Code From","Zip/Postal Code To",Weight>,Weight<=,"Shipping Price","Shipping Method",Discount
AU,*,*,1000,2263,18,19,105.3,"""""""AU POST Express""""""",""
AU,*,*,1000,2263,18,19,38.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,1000,2263,19,20,111,"""""""AU POST Express""""""",""
AU,*,*,1000,2263,19,20,39.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,1000,2263,20,21,116.7,"""""""AU POST Express""""""",""
AU,*,*,1000,2263,20,21,40.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,1000,2263,21,22,122.4,"""""""AU POST Express""""""",""
AU,*,*,1000,2263,21,22,42.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,5,6,35.3,"""""""AU POST Express""""""",""
AU,*,*,200,299,5,6,20.4,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,6,7,45.1,"""""""AU POST Express""""""",""
AU,*,*,200,299,6,7,22.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,7,8,54.9,"""""""AU POST Express""""""",""
AU,*,*,200,299,7,8,24.2,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,8,9,64.7,"""""""AU POST Express""""""",""
AU,*,*,200,299,8,9,26.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,9,10,74.5,"""""""AU POST Express""""""",""
AU,*,*,200,299,9,10,28,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,10,11,84.3,"""""""AU POST Express""""""",""
AU,*,*,200,299,10,11,29.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,11,12,94.1,"""""""AU POST Express""""""",""
AU,*,*,200,299,11,12,31.8,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,12,13,103.9,"""""""AU POST Express""""""",""
AU,*,*,200,299,12,13,33.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,13,14,113.7,"""""""AU POST Express""""""",""
AU,*,*,200,299,13,14,35.6,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,14,15,123.5,"""""""AU POST Express""""""",""
AU,*,*,200,299,14,15,37.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,15,16,133.3,"""""""AU POST Express""""""",""
AU,*,*,200,299,15,16,39.4,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,16,17,143.1,"""""""AU POST Express""""""",""
AU,*,*,200,299,16,17,41.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,17,18,152.9,"""""""AU POST Express""""""",""
AU,*,*,200,299,17,18,43.2,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,18,19,162.7,"""""""AU POST Express""""""",""
AU,*,*,200,299,18,19,45.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,19,20,172.5,"""""""AU POST Express""""""",""
AU,*,*,200,299,19,20,47,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,20,21,182.3,"""""""AU POST Express""""""",""
AU,*,*,200,299,20,21,48.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,200,299,21,22,192.1,"""""""AU POST Express""""""",""
AU,*,*,200,299,21,22,50.8,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,5,6,35.3,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,5,6,20.4,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,6,7,45.1,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,6,7,22.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,7,8,54.9,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,7,8,24.2,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,8,9,64.7,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,8,9,26.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,9,10,74.5,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,9,10,28,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,10,11,84.3,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,10,11,29.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,11,12,94.1,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,11,12,31.8,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,12,13,103.9,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,12,13,33.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,13,14,113.7,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,13,14,35.6,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,14,15,123.5,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,14,15,37.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,15,16,133.3,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,15,16,39.4,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,16,17,143.1,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,16,17,41.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,17,18,152.9,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,17,18,43.2,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,18,19,162.7,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,18,19,45.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,19,20,172.5,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,19,20,47,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,20,21,182.3,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,20,21,48.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2264,2499,21,22,192.1,"""""""AU POST Express""""""",""
AU,*,*,2264,2499,21,22,50.8,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,5,6,33.25,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,5,6,20.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,6,7,41,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,6,7,22.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,7,8,48.75,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,7,8,23.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,8,9,56.5,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,8,9,25.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,9,10,64.25,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,9,10,27.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,10,11,72,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,10,11,29.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,11,12,79.75,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,11,12,31.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,12,13,87.5,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,12,13,32.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,13,14,95.25,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,13,14,34.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,14,15,103,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,14,15,36.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,15,16,110.75,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,15,16,38.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,16,17,118.5,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,16,17,40.1,"""""""AU POST Standard (Monday-Friday)""""""",""
